criterion,dutyName.x.x,dutyTel3,hpid,hv1,hv10,hv11,hv12,hv2,hv3,hv4,hv5,hv6,hv7,hv8,hv9,hvamyn,hvangioayn,hvcc,hvccc,hvctayn,hvec,hvgc,hvicc,hvidate,hvmriayn,hvncc,hvoc,hvventiayn,phpid,rnum,dutyName.y,mkioskty25,mkioskty1,mkioskty2,mkioskty3,mkioskty4,mkioskty5,mkioskty6,mkioskty7,mkioskty8,mkioskty9,mkioskty10,mkioskty11,dutyName.x.y,score
2,의료법인한마음국제의료재단한마음창원병원,055-268-7333,A2800007,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,82,5,2.02E+13,Y,0,5,Y,A2800007,118,의료법인한마음국제의료재단한마음창원병원,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,의료법인한마음국제의료재단한마음창원병원,124.6734513
3,근로복지공단 창원병원,055-280-0400,A2800012,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,3,148,5,2.02E+13,Y,0,3,Y,A2800012,119,근로복지공단,Y,N,N,N,Y,N,Y,N,N,N,N,N,근로복지공단 창원병원,55.46714947
2,재단법인대구포교성베네딕도수녀회창원파티마병원,055-270-1119,A2800004,0,Y,Y,0,7,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,94,0,2.02E+13,Y,2,7,Y,A2800004,120,재단법인대구포교성베네딕도수녀회창원파티마병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,재단법인대구포교성베네딕도수녀회창원파티마병원,136.3899071
2,새통영병원,055-640-4119,A2800092,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,33,0,2.02E+13,N,0,2,Y,A2800092,122,새통영병원,Y,N,N,N,Y,N,N,N,Y,Y,N,N,새통영병원,39.49575154
1,삼성합천병원,070-5125-5030,A2800055,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,4,8,0,2.02E+13,Y,0,2,Y,A2800055,124,삼성합천병원,N,N,N,N,Y,N,N,Y,Y,Y,N,N,삼성합천병원,52.84138404
2,의료법인서명의료재단세명병원,053-819-8500,A2700036,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,12,93,0,2.02E+13,Y,0,5,Y,A2700036,126,의료법인서명의료재단세명병원,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,의료법인서명의료재단세명병원,72.95541448
2,동국대학교의과대학경주병원,054-776-8306,A2700003,0,Y,Y,0,3,3,0,Y,0,Y,0,0,Y,N,0,0,Y,7,45,0,2.02E+13,Y,0,4,Y,A2700003,127,동국대학교의과대학경주병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,동국대학교의과대학경주병원,139.4669345
2,순천향대학교부속구미병원,054-468-9119,A2700013,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,92,8,2.02E+13,Y,0,6,Y,A2700013,129,순천향대학교부속구미병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,순천향대학교부속구미병원,91.70169858
2,차의과학대학교부속구미차병원,054-450-9997,A2700007,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,18,24,0,2.02E+13,Y,6,6,Y,A2700007,130,차의과학대학교부속구미차병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,차의과학대학교부속구미차병원,144.9582
2,구미강동병원,054-478-9521,A2700015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,79,0,2.02E+13,Y,0,5,Y,A2700015,131,구미강동병원,Y,N,N,N,Y,N,N,N,N,N,N,N,구미강동병원,57.9246724
3,경상북도김천의료원,054-429-8234,A2700018,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,84,0,2.02E+13,Y,0,5,Y,A2700018,132,경상북도김천의료원,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,경상북도김천의료원,69.24701647
2,의료법인덕산의료재단김천제일병원,054-420-9500,A2700012,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,51,10,2.02E+13,Y,0,4,Y,A2700012,133,의료법인덕산의료재단김천제일병원,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,의료법인덕산의료재단김천제일병원,100.0113549
2,의료법인동춘의료재단문경제일병원,054-550-7777,A2700006,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,18,52,3,2.02E+13,Y,0,3,Y,A2700006,134,의료법인동춘의료재단문경제일병원,Y,N,N,Y,Y,N,Y,N,Y,Y,N,Y,의료법인동춘의료재단문경제일병원,77.74294694
3,의료법인서일의료재단문경중앙병원,054-554-3119,A2700067,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,3,33,0,2.02E+13,N1,0,1,Y,A2700067,135,의료법인서일의료재단문경중앙병원,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,의료법인서일의료재단문경중앙병원,53.70682389
2,의료법인삼백의료재단상주성모병원,054-530-7811,A2700009,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,24,3,2.02E+13,Y,0,3,Y,A2700009,136,의료법인삼백의료재단상주성모병원,N,N,N,N,Y,N,N,N,N,N,N,N,의료법인삼백의료재단상주성모병원,41.91084
3,상주적십자병원,054-530-3171,A2700011,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,96,8,2.02E+13,Y,0,3,Y,A2700011,137,상주적십자병원,Y,N,N,N,Y,N,Y,N,N,N,N,N,상주적십자병원,52.14871728
1,의료법인석촌의료재단성주무강병원,054-932-1909,A2700030,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,39,0,2.02E+13,N1,0,1,Y,A2700030,138,의료법인석촌의료재단성주무강병원,N,N,N,N,Y,N,N,Y,N,N,N,N,의료법인석촌의료재단성주무강병원,37.57582201
3,안동성소병원,054-850-8282,A2700004,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,169,8,2.02E+13,Y,0,6,Y,A2700004,139,안동성소병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,안동성소병원,152.2748957
3,의료법인안동병원,054-840-0119,A2700014,0,Y,Y,0,0,0,0,Y,0,Y,0,2,Y,N,0,0,Y,11,192,0,2.02E+13,Y,10,10,Y,A2700014,140,의료법인안동병원,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,의료법인안동병원,179.5897849
3,경상북도안동의료원,NA,A2700001,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,207,15,2.02E+13,Y,0,3,Y,A2700001,141,경상북도안동의료원,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,경상북도안동의료원,75.63724237
2,영주기독병원,054-635-3050,A2700031,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,4,0,0,2.02E+13,N1,0,1,Y,A2700031,142,영주기독병원,N,N,N,N,Y,N,N,N,N,N,Y,N,영주기독병원,57.56889962
3,영남대학교의과대학부속영천병원,054-330-7575,A2700017,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,30,2,2.02E+13,Y,0,4,Y,A2700017,144,영남대학교의과대학부속영천병원,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,영남대학교의과대학부속영천병원,64.81557521
2,포항성모병원,054-272-0151,A2700016,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,64,4,2.02E+13,Y,0,9,Y,A2700016,151,포항성모병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,포항성모병원,149.9434
3,포항세명기독병원,054-289-1711,A2700002,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,64,2,2.02E+13,Y,0,13,Y,A2700002,152,포항세명기독병원,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,포항세명기독병원,101.3726817
2,의료법인은성의료재단좋은선린병원,054-245-5200,A2702563,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,102,1,2.02E+13,Y,0,3,Y,A2702563,154,의료법인은성의료재단좋은선린병원,N,N,N,N,Y,Y,N,N,Y,Y,N,N,의료법인은성의료재단좋은선린병원,75.58442544
1,KS병원,062-975-9119,A1500019,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,12,44,7,2.02E+13,Y,0,4,Y,A1500019,157,병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,KS병원,87.00796476
2,하남성심병원,062-958-1250,A1500017,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,14,61,3,2.02E+13,Y,0,2,Y,A1500017,158,하남성심병원,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,하남성심병원,64.41600996
3,광주보훈병원,062-602-6119,A1500004,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,86,11,2.02E+13,Y,0,8,Y,A1500004,160,광주보훈병원,N,N,N,N,Y,Y,N,N,Y,N,N,N,광주보훈병원,78.48829332
2,첨단종합병원,062-601-8119,A1500011,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,76,16,2.02E+13,Y,0,5,Y,A1500011,161,첨단종합병원,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,첨단종합병원,85.8174831
1,동아병원,062-650-2515,A1500013,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,92,0,2.02E+13,Y,0,6,Y,A1500013,162,동아병원,Y,N,N,N,Y,N,Y,N,N,Y,N,N,동아병원,54.34373127
1,광주씨티병원,062-460-7119,A1500009,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,36,0,2.02E+13,Y,0,4,Y,A1500009,163,광주씨티병원,Y,N,N,N,Y,N,Y,N,N,N,N,N,광주씨티병원,49.02961689
3,광주기독병원,062-650-5119,A1500021,0,Y,Y,0,6,5,0,Y,0,Y,0,0,Y,N,0,0,Y,16,112,0,2.02E+13,Y,7,8,Y,A1500021,164,광주기독병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,광주기독병원,176.6239196
2,전남대학교병원,062-220-6801,A1500002,0,Y,Y,0,4,3,0,Y,4,Y,0,7,Y,N,3,0,Y,0,104,2,2.02E+13,Y,10,18,Y,A1500002,165,전남대학교병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,전남대학교병원,212.7614187
3,조선대학교병원,062-220-3280,A1500001,0,Y,Y,0,3,3,0,Y,2,Y,0,0,Y,N,0,0,Y,5,197,0,2.02E+13,Y,10,14,Y,A1500001,166,조선대학교병원,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,조선대학교병원,200.3309555
2,광주병원,062-260-7119,A1500015,0,0,0,0,0,0,0,Y,0,N,0,0,Y,N,0,0,Y,7,58,6,2.02E+13,N,0,4,Y,A1500015,167,광주병원,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,광주병원,67.76783446
2,운암한국병원,062-608-8119,A1500010,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,41,0,2.02E+13,N,0,0,Y,A1500010,168,운암한국병원,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,운암한국병원,43.96036905
1,광주현대병원,062-570-0119,A1500003,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,76,0,2.02E+13,Y,0,5,Y,A1500003,169,광주현대병원,N,N,N,N,Y,N,N,N,Y,Y,N,N,광주현대병원,54.16999056
3,광주일곡병원,062-608-7119,A1500005,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,40,0,2.02E+13,Y,0,2,Y,A1500005,170,광주일곡병원,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,광주일곡병원,54.86347453
2,광주희망병원,062-608-6119,A1500007,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,54,0,2.02E+13,N,0,3,Y,A1500007,171,광주희망병원,N,N,N,N,Y,N,Y,N,Y,N,N,N,광주희망병원,47.27790617
2,서광병원,062-600-8119,A1500020,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,14,15,-5,2.02E+13,Y,0,2,Y,A1500020,172,서광병원,N,N,N,N,Y,N,N,N,N,N,N,N,서광병원,40.58898506
3,상무병원,062-600-7119,A1500022,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,77,0,2.02E+13,Y,0,3,Y,A1500022,173,상무병원,N,N,N,N,Y,N,Y,Y,N,N,N,N,상무병원,56.62992366
3,광주한국병원,062-380-3119,A1500016,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,14,52,0,2.02E+13,Y,0,3,Y,A1500016,174,광주한국병원,Y,N,N,N,Y,N,Y,N,Y,N,N,N,광주한국병원,56.61375773
3,미래로21병원,062-450-1119,A1500014,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,69,2,2.02E+13,Y,0,3,Y,A1500014,175,미래로,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,미래로21병원,78.77390365
2,드림병원,053-640-8575,A1300034,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,70,0,2.02E+13,N,0,3,Y,A1300034,176,드림병원,N,N,N,N,Y,N,Y,N,Y,N,N,N,드림병원,59.07711373
2,대구가톨릭대학교병원,053-650-4194,A1300004,0,Y,Y,0,-1,4,0,Y,1,Y,0,0,Y,N,0,0,Y,4,149,0,2.02E+13,Y,12,17,Y,A1300004,177,대구가톨릭대학교병원,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,대구가톨릭대학교병원,177.9921489
2,영남대학교병원,053-620-3177,A1300001,0,Y,Y,0,4,3,0,Y,0,Y,0,0,Y,N,0,0,Y,-3,97,0,2.02E+13,Y,4,17,Y,A1300001,178,영남대학교병원,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,영남대학교병원,175.9815926
2,계명대학교동산병원,053-250-6321,A1300003,0,Y,Y,0,2,2,0,Y,2,Y,0,0,Y,N,0,0,Y,1,70,2,2.02E+13,Y,4,22,Y,A1300003,180,계명대학교동산병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,계명대학교동산병원,187.7598957
#N/A,더블유병원,053-550-5019,A1300110,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,3,31,0,2.02E+13,Y,0,6,Y,A1300110,181,더블유병원,N,N,N,N,Y,N,N,Y,N,N,N,N,더블유병원,50.38371478
#N/A,삼일병원,053-659-3119,A1300045,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,47,0,2.02E+13,N,0,2,Y,A1300045,183,삼일병원,N,N,N,N,Y,N,Y,N,N,N,N,N,삼일병원,38.78681913
2,대구파티마병원,053-940-7119,A1300009,0,Y,Y,0,-1,3,0,Y,4,Y,0,0,Y,N,0,0,Y,0,191,0,2.02E+13,Y,13,13,Y,A1300009,185,대구파티마병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,대구파티마병원,177.6111439
2,대구가톨릭대학교 칠곡가톨릭병원,053-320-2111,A1300005,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,41,0,2.02E+13,Y,0,3,Y,A1300005,186,대구가톨릭대학교,Y,N,N,Y,Y,N,N,N,Y,N,N,N,대구가톨릭대학교 칠곡가톨릭병원,59.1464053
3,대구의료원,053-560-7288,A1300007,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,0,0,2.02E+13,Y,0,4,Y,A1300007,188,대구의료원,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,대구의료원,94.55917219
1,(재)미리내천주성삼성직수도회천주성삼병원,053-790-0555,A1300081,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,34,0,2.02E+13,Y,0,4,Y,A1300081,189,재,N,N,N,N,Y,N,N,N,Y,N,N,N,(재)미리내천주성삼성직수도회천주성삼병원,50.57698576
1,곽병원,053-605-3333,A1300008,0,Y,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,78,0,2.02E+13,Y,0,4,Y,A1300008,190,곽병원,N,N,N,N,Y,N,N,N,Y,N,N,N,곽병원,67.73507641
1,경북대학교병원,053-200-5100,A1300002,0,Y,Y,0,0,1,0,Y,0,Y,0,3,Y,N,1,1,Y,2,73,0,2.02E+13,Y,3,16,Y,A1300002,191,경북대학교병원,N,N,N,Y,Y,Y,N,N,N,N,N,N,경북대학교병원,118.3069723
3,근로복지공단대전병원,042-670-5119,A1600009,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,58,4,2.02E+13,Y,0,3,Y,A1600009,192,근로복지공단대전병원,N,N,N,N,Y,N,N,N,N,N,N,Y,근로복지공단대전병원,56.10478943
2,대전한국병원,042-606-1119,A1600003,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,121,8,2.02E+13,Y,0,4,Y,A1600003,194,대전한국병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,대전한국병원,120.0594932
1,학교법인건양교육재단건양대학교병원,042-600-9119,A1600006,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,177,6,2.02E+13,Y,1,16,Y,A1600006,196,학교법인건양교육재단건양대학교병원,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,학교법인건양교육재단건양대학교병원,175.1148005
1,학교법인을지학원대전을지대학교병원,042-259-1119,A1600002,0,Y,Y,0,0,2,0,Y,0,Y,0,6,Y,N,0,0,Y,15,62,0,2.02E+13,Y,12,14,Y,A1600002,197,학교법인을지학원대전을지대학교병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,학교법인을지학원대전을지대학교병원,182.1763909
3,의료법인영훈의료재단유성선병원,042-609-1119,A1600007,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,75,8,2.02E+13,Y,0,3,Y,A1600007,198,의료법인영훈의료재단유성선병원,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,의료법인영훈의료재단유성선병원,88.30430713
3,학교법인가톨릭학원가톨릭대학교대전성모병원,042-220-9118,A1600005,0,Y,Y,0,2,0,0,Y,1,Y,0,0,Y,N,0,1,Y,13,124,0,2.02E+13,Y,2,10,Y,A1600005,199,학교법인가톨릭학원가톨릭대학교대전성모병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,학교법인가톨릭학원가톨릭대학교대전성모병원,147.26533
3,의료법인영훈의료재단대전선병원,042-220-8129,A1600008,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,19,99,1,2.02E+13,Y,0,7,Y,A1600008,200,의료법인영훈의료재단대전선병원,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,의료법인영훈의료재단대전선병원,112.0726278
2,충남대학교병원,042-280-8129,A1600001,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,4,259,0,2.02E+13,Y,7,18,Y,A1600001,201,충남대학교병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,충남대학교병원,187.7433045
#N/A,(의)서일의료재단기장병원,051-723-2119,A1200028,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,43,0,2.02E+13,Y,0,0,Y,A1200028,202,의,N,N,N,N,Y,N,N,N,Y,N,N,N,(의)서일의료재단기장병원,47.89241327
2,동남권원자력의학원,051-720-5911,A1200015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,36,7,2.02E+13,Y,0,6,Y,A1200015,203,동남권원자력의학원,N,N,N,N,Y,N,N,N,Y,N,N,N,동남권원자력의학원,63.09118723
3,부산성모병원(재단법인천주교부산교구유지재단),051-933-7119,A1200013,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,18,136,1,2.02E+13,Y,14,7,Y,A1200013,204,부산성모병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,부산성모병원(재단법인천주교부산교구유지재단),153.1733588
3,좋은문화병원,051-630-0909,A1200026,0,Y,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,66,2,2.02E+13,Y,6,4,Y,A1200026,205,좋은문화병원,N,Y,N,N,Y,N,N,N,N,N,Y,N,좋은문화병원,102.9279684
3,의료법인정화의료재단 김원묵기념봉생병원,051-664-4119,A1200017,0,0,0,0,7,6,0,Y,0,Y,0,0,Y,N,0,0,Y,10,104,0,2.02E+13,Y,0,8,Y,A1200017,206,의료법인정화의료재단,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,의료법인정화의료재단 김원묵기념봉생병원,129.3624092
1,동래봉생병원,051-520-5700,A1200011,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,78,6,2.02E+13,Y,0,5,Y,A1200011,207,동래봉생병원,Y,N,N,Y,Y,Y,N,N,N,N,N,N,동래봉생병원,77.19563368
2,대동병원,051-550-9391,A1200018,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,115,9,2.02E+13,Y,0,5,Y,A1200018,208,대동병원,Y,N,N,N,Y,Y,Y,N,N,N,N,N,대동병원,76.31068541
1,의료법인광혜의료재단광혜병원,051-504-2119,A1200009,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,91,1,2.02E+13,Y,0,3,Y,A1200009,209,의료법인광혜의료재단광혜병원,N,N,N,N,Y,N,Y,N,N,N,N,N,의료법인광혜의료재단광혜병원,51.8646306
2,의료법인 온그룹의료재단 온종합병원,051-607-0139,A1200020,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,23,36,12,2.02E+13,Y,0,6,Y,A1200020,210,의료법인,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,의료법인 온그룹의료재단 온종합병원,88.37251284
3,인제대학교부산백병원,051-890-8934,A1200001,0,Y,Y,0,5,0,0,Y,0,Y,0,0,Y,N,0,0,Y,20,40,0,2.02E+13,Y,8,17,Y,A1200001,211,인제대학교부산백병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,인제대학교부산백병원,184.4683353
3,학교법인)동의병원,051-850-8777,A1200019,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,86,18,2.02E+13,Y,0,1,Y,A1200019,212,학교법인,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,학교법인)동의병원,81.88452564
3,학교법인 춘해병원,051-632-3119,A1200025,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,59,0,2.02E+13,Y,0,4,Y,A1200025,213,학교법인,Y,N,N,N,Y,N,N,N,Y,N,N,N,학교법인 춘해병원,52.27382226
2,구포성심병원,051-330-2090,A1200045,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,14,0,2.02E+13,Y,0,4,Y,A1200045,214,구포성심병원,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,구포성심병원,75.93888994
2,의료법인인당의료재단부민병원,051-330-3129,A1200006,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,50,5,2.02E+13,Y,0,9,Y,A1200006,215,의료법인인당의료재단부민병원,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,의료법인인당의료재단부민병원,86.7823595
2,의료법인은성의료재단좋은삼선병원,051-310-9119,A1200005,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,48,7,2.02E+13,Y,0,4,Y,A1200005,216,의료법인은성의료재단좋은삼선병원,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,의료법인은성의료재단좋은삼선병원,92.96181172
3,한국보훈복지의료공단부산보훈병원,051-601-6180,A1200016,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,12,32,2,2.02E+13,Y,0,7,Y,A1200016,217,한국보훈복지의료공단부산보훈병원,N,N,N,N,Y,N,N,N,N,N,N,N,한국보훈복지의료공단부산보훈병원,56.50671801
2,고신대학교복음병원,051-990-3008,A1200004,0,Y,Y,0,1,1,0,Y,2,Y,0,0,Y,N,3,0,Y,2,177,0,2.02E+13,Y,5,13,Y,A1200004,218,고신대학교복음병원,N,N,N,N,Y,N,N,N,N,N,N,N,고신대학교복음병원,108.6881915
1,부산대학교병원,051-240-7776,A1200002,0,Y,Y,0,3,0,0,Y,1,Y,0,25,Y,N,0,0,Y,12,251,15,2.02E+13,Y,8,26,Y,A1200002,219,부산대학교병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,부산대학교병원,230.5007991
2,동아대학교병원,051-240-5301,A1200003,0,Y,Y,0,0,0,0,Y,2,Y,0,0,Y,N,4,2,Y,13,96,8,2.02E+13,Y,4,12,Y,A1200003,220,동아대학교병원,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,동아대학교병원,162.3721937
2,삼육부산병원,051-600-7750,A1200021,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,3,39,0,2.02E+13,Y,0,3,Y,A1200021,221,삼육부산병원,N,N,N,Y,Y,N,N,Y,N,N,N,N,삼육부산병원,70.54868198
2,의료법인 은성의료재단 좋은강안병원,051-610-9119,A1200008,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,26,5,2.02E+13,Y,0,6,Y,A1200008,222,의료법인,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,의료법인 은성의료재단 좋은강안병원,87.41276839
2,비에이치에스한서병원,070-7321-0119,A1200007,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,84,10,2.02E+13,Y,0,4,Y,A1200007,223,비에이치에스한서병원,Y,N,N,N,Y,Y,N,N,N,N,N,N,비에이치에스한서병원,68.00642463
3,부산광역시의료원,051-607-2140,A1200024,0,0,Y,0,9,5,0,Y,0,Y,0,0,Y,N,0,0,Y,17,252,0,2.02E+13,Y,0,7,Y,A1200024,224,부산광역시의료원,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,부산광역시의료원,142.1306035
2,해동병원,051-410-6695,A1200012,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,70,4,2.02E+13,Y,0,3,Y,A1200012,225,해동병원,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,해동병원,69.75121481
3,영도병원,051-419-7575,A1200014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,61,3,2.02E+13,Y,0,3,Y,A1200014,226,영도병원,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,영도병원,57.66700607
3,재단법인천주교부산교구유지재단 메리놀병원,051-461-2300,A1200023,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,147,13,2.02E+13,Y,0,7,Y,A1200023,227,재단법인천주교부산교구유지재단,N,N,N,N,Y,N,N,N,N,N,N,N,재단법인천주교부산교구유지재단 메리놀병원,64.03115605
3,의료법인인당의료재단해운대부민병원,051-602-8119,A1205143,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,47,8,2.02E+13,Y,0,7,Y,A1205143,228,의료법인인당의료재단해운대부민병원,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,의료법인인당의료재단해운대부민병원,74.17909367
